Season,Round,Race,Date,Circuit,Country,DriverId,Lap,Stop Number,Time of Day,Duration
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,nasr,18,1,14:27:40,25.732
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,kvyat,28,1,14:40:43,25.119
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,max_verstappen,29,1,14:42:14,52.821
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,hulkenberg,31,2,14:46:02,24.758
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,alonso,32,1,14:46:31,30.345
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,stevens,33,1,14:50:20,28.606
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,button,35,1,14:50:28,25.062
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,vettel,36,1,14:51:19,24.851
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,ricciardo,36,1,14:51:34,24.501
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,perez,36,1,14:51:43,24.733
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,rosberg,37,1,14:52:37,24.789
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,merhi,35,1,14:52:53,27.554
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,raikkonen,37,1,14:52:54,24.177
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,hamilton,38,1,14:53:49,24.181
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,ericsson,38,2,14:55:31,25.398
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,massa,39,2,14:58:08,24.970
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,max_verstappen,46,2,15:06:05,25.736
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,bottas,56,2,15:19:50,24.412
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,massa,62,3,15:29:53,24.395
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,perez,64,2,15:29:57,25.119
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,button,64,2,15:30:17,24.661
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,hamilton,65,2,15:30:51,25.495
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,nasr,64,2,15:30:55,26.420
2015,6,Monaco Grand Prix,2015-05-24,Circuit de Monaco,Monaco,ricciardo,65,2,15:31:26,24.244
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,button,1,1,14:04:39,18.057
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,vettel,7,1,14:12:45,27.241
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,maldonado,17,1,14:25:56,23.660
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,ricciardo,23,1,14:34:08,23.997
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,perez,24,1,14:35:26,23.453
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,raikkonen,26,1,14:37:27,23.630
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,nasr,26,1,14:38:33,24.795
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,grosjean,27,1,14:39:08,24.292
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,kvyat,27,1,14:39:23,23.681
2015,7,Canadian Grand Prix,2015-06-07,Circuit Gilles Villeneuve,Canada,sainz,27,1,14:39:37,24.277
